word,frequency,type,gender,dictionaryForm,languageLevel,english
folla,3,noun,feminine,folla,C2,sheep
duce,3,noun,masculine,duce,C2,leader
sodoma,2,noun,feminine,sodoma,C2,Sodom
sarín,2,noun,masculine,sarín,C2,sarin
negrata,2,noun,feminine,negrata,C2,slang term for a Black person (considered offensive)
putilla,2,noun,feminine,putilla,C2,whore
fideicomiso,5,noun,masculine,fideicomiso,C2,trust
atavus,2,noun,masculine,atavus,C2,ancestor
cicerón,1,proprer-noun,masculine,Cicerón,C2,Cicero
tártaros,1,noun,masculine,tártaro,C2,Tartarus
