word,frequency,type,gender,dictionaryForm,languageLevel,english
sólo,4009,adverb,other,solo,B1,only
siento,2772,verb,other,sentir,B1,I feel
sobre,2584,other,other,sobre,B1,"on, about, over"
hecho,2114,noun,masculine,hecho,B1,fact
acuerdo,1986,noun,masculine,acuerdo,B1,agreement
parece,1922,verb,other,parecer,B1,to seem
podría,1780,verb,other,poder,B1,could
había,1563,verb,other,haber,B1,there was/there were
tenía,1530,verb,other,tener,B1,had
haciendo,1504,verb,other,hacer,B1,doing
seguro,1499,adjective,masculine,seguro,B1,"sure, safe"
quería,1246,verb,other,querer,B1,wanted
realmente,1178,adverb,other,realmente,B1,really
hacerlo,1135,verb,other,hacerlo,B1,to do it
razón,1075,noun,feminine,razón,B1,reason
tanto,1068,adverb,other,tanto,B1,so much
demasiado,987,adjective,other,demasiado,B1,too much
pasado,966,noun,masculine,pasado,B1,past
debería,948,verb,other,deber,B1,should
sabía,846,verb,other,saber,B1,knew
cualquier,816,adjective,other,cualquiera,B1,any
sería,802,verb,other,ser,B1,would be
genial,784,adjective,other,genial,B1,great
supuesto,781,adjective,masculine,supuesto,B1,supposed
quizá,761,adverb,other,quizá,B1,perhaps
hablando,751,verb,other,hablar,B1,talking
supongo,729,verb,other,suponer,B1,I suppose
quizás,700,adverb,other,quizás,B1,perhaps
siquiera,684,adverb,other,siquiera,B1,at least
importante,644,adjective,other,importante,B1,important
dijiste,643,verb,other,decir,B1,you said
haré,636,verb,other,hacer,B1,I will do
bastante,592,adverb,other,bastante,B1,enough
único,586,adjective,masculine,único,B1,unique
suficiente,579,adjective,other,suficiente,B1,sufficient
haya,577,noun,feminine,haya,B1,beech tree
incluso,569,adverb,other,incluso,B1,even
difícil,567,adjective,masculine,difícil,B1,difficult
aunque,566,other,other,aunque,B1,although
última,553,adjective,feminine,último,B1,last
pueda,549,verb,other,poder,B1,can
tenido,536,verb,other,tener,B1,to have
deberías,535,verb,other,deber,B1,you should
podía,516,verb,other,poder,B1,could
oportunidad,516,noun,feminine,oportunidad,B1,opportunity
vete,507,verb,other,ir,B1,go away
exactamente,495,adverb,other,exactamente,B1,exactly
ido,490,verb,other,ir,B1,gone
esté,486,verb,other,estar,B1,to be
capitán,479,noun,masculine,capitán,B1,captain
mayor,474,adjective,other,mayor,B1,older
pensando,456,verb,other,pensar,B1,thinking
trata,454,verb,other,tratar,B1,to treat
podrías,445,verb,other,poder,B1,you could
única,442,adjective,feminine,único,B1,unique
dicen,434,verb,other,decir,B1,they say
hagas,429,verb,other,hacer,B1,to do
seguridad,415,noun,feminine,seguridad,B1,security
estuvo,414,verb,other,estar,B1,was
preocupes,414,verb,other,preocupar,B1,to worry
queda,412,verb,other,quedar,B1,to stay
último,407,adjective,masculine,último,B1,last
estará,405,verb,other,estar,B1,will be
siendo,401,verb,other,ser,B1,being
acerca,400,other,other,acerca,B1,about
tenga,400,verb,other,tener,B1,have
conseguir,393,verb,other,conseguir,B1,to achieve
peor,382,adjective,other,peor,B1,worse
murió,381,verb,other,morir,B1,he/she died
venido,379,verb,other,venir,B1,come
basta,378,adjective,feminine,basta,B1,enough
deberíamos,376,verb,other,deber,B1,we should
diga,373,verb,other,decir,B1,say
digas,369,verb,other,decir,B1,you say
llamado,355,noun,masculine,llamado,B1,call
increíble,349,adjective,feminine,increíble,B1,incredible
especial,347,adjective,feminine,especial,B1,special
puesto,340,noun,masculine,puesto,B1,position
haría,338,verb,other,hacer,B1,would do
diré,336,verb,other,decir,B1,I will say
suena,336,verb,other,sonar,B1,to sound
extraño,331,adjective,masculine,extraño,B1,strange
presidente,330,noun,masculine,presidente,B1,president
irme,328,verb,other,irme,B1,to leave (myself)
trabajando,323,verb,other,trabajar,B1,working
tratando,322,verb,other,tratar,B1,trying
trato,321,noun,masculine,trato,B1,treaty
derecho,320,noun,masculine,derecho,B1,right
demás,318,other,other,demás,B1,others
quieras,317,verb,other,querer,B1,to want
podríamos,316,verb,other,poder,B1,we could
asesino,316,noun,masculine,asesino,B1,killer
encontrado,311,verb,other,encontrar,B1,found
estaré,309,verb,other,estar,B1,I will be
atención,303,noun,feminine,atención,B1,attention
daño,301,noun,masculine,daño,B1,damage
sucede,300,verb,other,suceder,B1,to happen
seas,296,verb,other,ser,B1,to be
dejó,294,verb,other,dejar,B1,he/she/it left
siente,289,verb,other,sentir,B1,to feel
decirte,288,verb,other,decirte,B1,to tell you
pensaba,287,verb,other,pensar,B1,I was thinking
fuerza,283,noun,feminine,fuerza,B1,strength
supone,282,verb,other,suponer,B1,to suppose
estábamos,281,verb,other,estar,B1,we were
vuelto,278,verb,other,volver,B1,returned
asesinato,274,noun,masculine,asesinato,B1,murder
llegado,273,verb,other,llegar,B1,arrived
estaría,272,verb,other,estar,B1,would be
fuiste,271,verb,other,ir,B1,you went
abogado,264,noun,masculine,abogado,B1,lawyer
propio,264,adjective,masculine,propio,B1,own
terminado,263,adjective,masculine,terminado,B1,finished
