word,frequency,type,gender,dictionaryForm,languageLevel,english
cuando,5034,adverb,other,cuando,A2,when
sé,4928,verb,other,saber,A2,to know
puedo,4357,verb,other,poder,A2,I can
era,4139,verb,other,ser,A2,was
sabes,3442,verb,other,saber,A2,to know
estaba,3441,verb,other,estar,A2,was
puede,3413,verb,other,poder,A2,can
nunca,2973,adverb,other,nunca,A2,never
mejor,2705,adjective,other,mejor,A2,better
tenemos,2562,verb,other,tener,A2,we have
puedes,2504,verb,other,poder,A2,you can
alguien,2417,pronoun,other,alguien,A2,someone
trabajo,1966,noun,masculine,trabajo,A2,work
mismo,1880,adjective,masculine,mismo,A2,same
tal,1719,adjective,other,tal,A2,such
estado,1578,noun,masculine,estado,A2,state
sabe,1481,verb,other,saber,A2,to know
podemos,1473,verb,other,poder,A2,we can
espera,1463,verb,other,esperar,A2,wait
sido,1457,verb,other,ser,A2,been
tipo,1418,noun,masculine,tipo,A2,type
dije,1275,verb,other,decir,A2,I said
oye,1267,verb,other,oír,A2,hear
gusta,1261,verb,other,gustar,A2,to please
será,1244,verb,other,ser,A2,will be
crees,1220,verb,other,creer,A2,you believe
aún,1163,adverb,other,aún,A2,still
importa,1098,verb,other,importar,A2,to matter
hemos,1081,verb,other,haber,A2,we have
alguna,1072,adjective,feminine,alguna,A2,some
hizo,1060,verb,other,hacer,A2,did
serio,1053,adjective,masculine,serio,A2,serious
problema,1027,noun,masculine,problema,A2,problem
cierto,1025,adjective,masculine,cierto,A2,certain
dicho,1016,noun,masculine,dicho,A2,saying
quien,1012,pronoun,other,quién,A2,who
policía,948,noun,feminine,policía,A2,police
cuenta,917,noun,feminine,cuenta,A2,account
todavía,901,adverb,other,todavía,A2,still
algún,885,adjective,masculine,algún,A2,some
vaya,880,verb,other,ir,A2,go
pensé,862,verb,other,pensar,A2,I thought
digo,828,verb,other,decir,A2,I say
caso,801,noun,masculine,caso,A2,case
pueden,801,verb,other,poder,A2,can
pasó,788,verb,other,pasar,A2,to pass
hice,779,verb,other,hacer,A2,I did
pues,778,other,other,pues,A2,well
volver,762,verb,other,volver,A2,to return
contra,759,other,other,contra,A2,against
manera,744,noun,feminine,manera,A2,way
muerto,742,adjective,masculine,muerto,A2,dead
rápido,740,adjective,masculine,rápido,A2,fast
iba,731,verb,other,ir,A2,was going
entiendo,725,verb,other,entender,A2,I understand
casi,722,adverb,other,casi,A2,almost
juntos,699,adverb,other,junto,A2,together
suerte,688,noun,feminine,suerte,A2,luck
gustaría,671,verb,other,gustar,A2,would like
muerte,660,noun,feminine,muerte,A2,death
realidad,654,noun,feminine,realidad,A2,reality
deja,650,verb,other,dejar,A2,to leave
problemas,649,noun,masculine,problema,A2,problems
jefe,640,noun,masculine,jefe,A2,boss
justo,633,adjective,masculine,justo,A2,just
poder,623,verb,other,poder,A2,to be able to
debes,621,verb,other,deber,A2,must
viene,618,verb,other,venir,A2,comes
venga,617,verb,other,venir,A2,come
adelante,612,adverb,other,adelante,A2,forward
ninguna,607,pronoun,feminine,ninguna,A2,none
otros,606,pronoun,other,otro,A2,others
cuidado,603,noun,masculine,cuidado,A2,care
viejo,597,adjective,masculine,viejo,A2,old
déjame,593,verb,other,dejar,A2,let me
escucha,580,verb,other,escuchar,A2,listen
sigue,577,verb,other,seguir,A2,to follow
algunos,568,pronoun,other,algunos,A2,some
hiciste,555,verb,other,hacer,A2,you did
pensar,550,verb,other,pensar,A2,to think
vuelta,538,noun,feminine,vuelta,A2,turn
algunas,519,pronoun,feminine,alguna,A2,some
cree,518,verb,other,creer,A2,to believe
debemos,516,verb,other,deber,A2,we should
necesitamos,513,verb,other,necesitar,A2,we need
estabas,509,verb,other,estar,A2,you were
quieren,508,verb,other,querer,A2,they want
posible,500,adjective,other,posible,A2,possible
fuerte,488,adjective,other,fuerte,A2,strong
diciendo,487,verb,other,decir,A2,saying
pasando,480,verb,other,pasar,A2,passing
sabemos,474,verb,other,saber,A2,we know
morir,474,verb,other,morir,A2,to die
conozco,473,verb,other,conocer,A2,I know
fácil,471,adjective,feminine,fácil,A2,easy
haga,464,verb,other,hacer,A2,to do
